Dataset | March Current Population Survey | Cross-sectional representative sample of more than 50,000 U.S. civilian households containing detailed questions about household composition and sources of income. | [('Cross-sectional', 'JJ'), ('representative', 'JJ'), ('sample', 'NN'), ('of', 'IN'), ('more', 'JJR'), ('than', 'IN'), ('50,000', 'CD'), ('U.S.', 'NNP'), ('civilian', 'JJ'), ('households', 'NNS'), ('containing', 'VBG'), ('detailed', 'JJ'), ('questions', 'NNS'), ('about', 'IN'), ('household', 'NN'), ('composition', 'NN'), ('and', 'CC'), ('sources', 'NNS'), ('of', 'IN'), ('income', 'NN'), ('.', '.')]
Dataset | General Social Survey | …the current research identifies the effect of recessions on beliefs exploiting time and regional variation in macroeconomic conditions using data from the 1972 to 2010 General Social Survey. | [('…the', 'JJ'), ('current', 'JJ'), ('research', 'NN'), ('identifies', 'VBZ'), ('the', 'DT'), ('effect', 'NN'), ('of', 'IN'), ('recessions', 'NNS'), ('on', 'IN'), ('beliefs', 'NNS'), ('exploiting', 'VBG'), ('time', 'NN'), ('and', 'CC'), ('regional', 'JJ'), ('variation', 'NN'), ('in', 'IN'), ('macroeconomic', 'JJ'), ('conditions', 'NNS'), ('using', 'VBG'), ('data', 'NNS'), ('from', 'IN'), ('the', 'DT'), ('1972', 'CD'), ('to', 'TO'), ('2010', 'CD'), ('General', 'NNP'), ('Social', 'NNP'), ('Survey', 'NNP'), ('.', '.')]
Dataset | National Longitudinal Survey of the High School Class of 1972 | …the current research relies on data from the National Longitudinal Survey of the High School Class of 1972 to corroborate the age-period-cohort specification and look at heterogeneous effects of experiencing a recession during early adulthood. | [('…the', 'JJ'), ('current', 'JJ'), ('research', 'NN'), ('relies', 'NNS'), ('on', 'IN'), ('data', 'NNS'), ('from', 'IN'), ('the', 'DT'), ('National', 'NNP'), ('Longitudinal', 'NNP'), ('Survey', 'NNP'), ('of', 'IN'), ('the', 'DT'), ('High', 'NNP'), ('School', 'NNP'), ('Class', 'NNP'), ('of', 'IN'), ('1972', 'CD'), ('to', 'TO'), ('corroborate', 'VB'), ('the', 'DT'), ('age-period-cohort', 'JJ'), ('specification', 'NN'), ('and', 'CC'), ('look', 'NN'), ('at', 'IN'), ('heterogeneous', 'JJ'), ('effects', 'NNS'), ('of', 'IN'), ('experiencing', 'VBG'), ('a', 'DT'), ('recession', 'NN'), ('during', 'IN'), ('early', 'JJ'), ('adulthood', 'NN'), ('.', '.')]
Dataset | World Value Survey | …using data from the World Value Survey, researchers confirm the findings with a sample of 37 countries whose citizens experienced macroeconomic disasters at different points in history. | [('…using', 'VBG'), ('data', 'NNS'), ('from', 'IN'), ('the', 'DT'), ('World', 'NNP'), ('Value', 'NNP'), ('Survey', 'NNP'), (',', ','), ('researchers', 'NNS'), ('confirm', 'VBP'), ('the', 'DT'), ('findings', 'NNS'), ('with', 'IN'), ('a', 'DT'), ('sample', 'NN'), ('of', 'IN'), ('37', 'CD'), ('countries', 'NNS'), ('whose', 'WP$'), ('citizens', 'NNS'), ('experienced', 'VBD'), ('macroeconomic', 'JJ'), ('disasters', 'NNS'), ('at', 'IN'), ('different', 'JJ'), ('points', 'NNS'), ('in', 'IN'), ('history', 'NN'), ('.', '.')]
Dataset | General Social Survey | …relying on pooled cross-sectional data from the 1972 to 2010 General Social Survey (GSS), researchers use regional variation in macroeconomic conditions in the United States to identify the impact of economic shocks on the formation of preferences for redistribution. | [('…relying', 'VBG'), ('on', 'IN'), ('pooled', 'JJ'), ('cross-sectional', 'JJ'), ('data', 'NNS'), ('from', 'IN'), ('the', 'DT'), ('1972', 'CD'), ('to', 'TO'), ('2010', 'CD'), ('General', 'NNP'), ('Social', 'NNP'), ('Survey', 'NNP'), ('(', '('), ('GSS', 'NNP'), (')', ')'), (',', ','), ('researchers', 'NNS'), ('use', 'VBP'), ('regional', 'JJ'), ('variation', 'NN'), ('in', 'IN'), ('macroeconomic', 'JJ'), ('conditions', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('United', 'NNP'), ('States', 'NNPS'), ('to', 'TO'), ('identify', 'VB'), ('the', 'DT'), ('impact', 'NN'), ('of', 'IN'), ('economic', 'JJ'), ('shocks', 'NNS'), ('on', 'IN'), ('the', 'DT'), ('formation', 'NN'), ('of', 'IN'), ('preferences', 'NNS'), ('for', 'IN'), ('redistribution', 'NN'), ('.', '.')]
Dataset | General Social Survey | …using the information on respondent's location during adolescence, researchers rely on time- and location-specific shocks. This specification allows researchers to control for nonlinear time-period, and life-cycle and cohort effects, as well as a host of background variables and other time-varying regional characteristics, including level of wealth, differences in educational policies, overall level of inequality and crime. | [('…using', 'VBG'), ('the', 'DT'), ('information', 'NN'), ('on', 'IN'), ('respondent', 'NN'), ("'s", 'POS'), ('location', 'NN'), ('during', 'IN'), ('adolescence', 'NN'), (',', ','), ('researchers', 'NNS'), ('rely', 'VBP'), ('on', 'IN'), ('time-', 'JJ'), ('and', 'CC'), ('location-specific', 'JJ'), ('shocks', 'NNS'), ('.', '.'), ('This', 'DT'), ('specification', 'NN'), ('allows', 'VBZ'), ('researchers', 'NNS'), ('to', 'TO'), ('control', 'VB'), ('for', 'IN'), ('nonlinear', 'JJ'), ('time-period', 'JJ'), (',', ','), ('and', 'CC'), ('life-cycle', 'NN'), ('and', 'CC'), ('cohort', 'NN'), ('effects', 'NNS'), (',', ','), ('as', 'RB'), ('well', 'RB'), ('as', 'IN'), ('a', 'DT'), ('host', 'NN'), ('of', 'IN'), ('background', 'NN'), ('variables', 'NNS'), ('and', 'CC'), ('other', 'JJ'), ('time-varying', 'JJ'), ('regional', 'JJ'), ('characteristics', 'NNS'), (',', ','), ('including', 'VBG'), ('level', 'NN'), ('of', 'IN'), ('wealth', 'NN'), (',', ','), ('differences', 'NNS'), ('in', 'IN'), ('educational', 'JJ'), ('policies', 'NNS'), (',', ','), ('overall', 'JJ'), ('level', 'NN'), ('of', 'IN'), ('inequality', 'NN'), ('and', 'CC'), ('crime', 'NN'), ('.', '.')]
Dataset | World Value Survey | …the findings from the U.S.-based GSS data are confirmed by extending the analysis to a large set of countries. Researchers do so by linking preferences for redistribution to experiences of economic disasters during youth in a sample of 37 countries, using evidence from the World Value Survey. | [('…the', 'JJ'), ('findings', 'NNS'), ('from', 'IN'), ('the', 'DT'), ('U.S.-based', 'JJ'), ('GSS', 'NNP'), ('data', 'NNS'), ('are', 'VBP'), ('confirmed', 'VBN'), ('by', 'IN'), ('extending', 'VBG'), ('the', 'DT'), ('analysis', 'NN'), ('to', 'TO'), ('a', 'DT'), ('large', 'JJ'), ('set', 'NN'), ('of', 'IN'), ('countries', 'NNS'), ('.', '.'), ('Researchers', 'NNS'), ('do', 'VBP'), ('so', 'RB'), ('by', 'IN'), ('linking', 'VBG'), ('preferences', 'NNS'), ('for', 'IN'), ('redistribution', 'NN'), ('to', 'TO'), ('experiences', 'NNS'), ('of', 'IN'), ('economic', 'JJ'), ('disasters', 'NNS'), ('during', 'IN'), ('youth', 'NN'), ('in', 'IN'), ('a', 'DT'), ('sample', 'NN'), ('of', 'IN'), ('37', 'CD'), ('countries', 'NNS'), (',', ','), ('using', 'VBG'), ('evidence', 'NN'), ('from', 'IN'), ('the', 'DT'), ('World', 'NNP'), ('Value', 'NNP'), ('Survey', 'NNP'), ('.', '.')]
Dataset | National Longitudinal Survey of the High School Class of 1972 | …data from the National Longitudinal Survey of the High School Class of 1972 (NLS72) is utilized to corroborate the age-period-cohort specificationa and shed light on the mechanisms driving the results. | [('…data', 'NNS'), ('from', 'IN'), ('the', 'DT'), ('National', 'NNP'), ('Longitudinal', 'NNP'), ('Survey', 'NNP'), ('of', 'IN'), ('the', 'DT'), ('High', 'NNP'), ('School', 'NNP'), ('Class', 'NNP'), ('of', 'IN'), ('1972', 'CD'), ('(', '('), ('NLS72', 'NNP'), (')', ')'), ('is', 'VBZ'), ('utilized', 'JJ'), ('to', 'TO'), ('corroborate', 'VB'), ('the', 'DT'), ('age-period-cohort', 'JJ'), ('specificationa', 'NN'), ('and', 'CC'), ('shed', 'VBD'), ('light', 'NN'), ('on', 'IN'), ('the', 'DT'), ('mechanisms', 'NNS'), ('driving', 'VBG'), ('the', 'DT'), ('results', 'NNS'), ('.', '.')]
Dataset | General Social Survey | …to gauge the economic significance of the findings, researchers construct a exercise, using evidence from the GSS, of what would have happened to the percentage of people voting for the Democratic Party in the most recent election in the nine U.S. regions, if individuals living in that region had not experienced a recession when young. | [('…to', 'JJ'), ('gauge', 'VBD'), ('the', 'DT'), ('economic', 'JJ'), ('significance', 'NN'), ('of', 'IN'), ('the', 'DT'), ('findings', 'NNS'), (',', ','), ('researchers', 'NNS'), ('construct', 'VBP'), ('a', 'DT'), ('exercise', 'NN'), (',', ','), ('using', 'VBG'), ('evidence', 'NN'), ('from', 'IN'), ('the', 'DT'), ('GSS', 'NNP'), (',', ','), ('of', 'IN'), ('what', 'WP'), ('would', 'MD'), ('have', 'VB'), ('happened', 'VBN'), ('to', 'TO'), ('the', 'DT'), ('percentage', 'NN'), ('of', 'IN'), ('people', 'NNS'), ('voting', 'VBG'), ('for', 'IN'), ('the', 'DT'), ('Democratic', 'JJ'), ('Party', 'NNP'), ('in', 'IN'), ('the', 'DT'), ('most', 'RBS'), ('recent', 'JJ'), ('election', 'NN'), ('in', 'IN'), ('the', 'DT'), ('nine', 'CD'), ('U.S.', 'NNP'), ('regions', 'NNS'), (',', ','), ('if', 'IN'), ('individuals', 'NNS'), ('living', 'VBG'), ('in', 'IN'), ('that', 'DT'), ('region', 'NN'), ('had', 'VBD'), ('not', 'RB'), ('experienced', 'VBN'), ('a', 'DT'), ('recession', 'NN'), ('when', 'WRB'), ('young', 'JJ'), ('.', '.')]
Dataset | General Social Survey | …the primary dataset on individual and political beliefs is the General Social Survey (GSS), which provides repeated cross-section observations on political and economic beliefs and various individual characteristics. | [('…the', 'JJ'), ('primary', 'JJ'), ('dataset', 'NN'), ('on', 'IN'), ('individual', 'JJ'), ('and', 'CC'), ('political', 'JJ'), ('beliefs', 'NN'), ('is', 'VBZ'), ('the', 'DT'), ('General', 'NNP'), ('Social', 'NNP'), ('Survey', 'NNP'), ('(', '('), ('GSS', 'NNP'), (')', ')'), (',', ','), ('which', 'WDT'), ('provides', 'VBZ'), ('repeated', 'VBD'), ('cross-section', 'NN'), ('observations', 'NNS'), ('on', 'IN'), ('political', 'JJ'), ('and', 'CC'), ('economic', 'JJ'), ('beliefs', 'NNS'), ('and', 'CC'), ('various', 'JJ'), ('individual', 'JJ'), ('characteristics', 'NNS'), ('.', '.')]
Dataset | General Social Survey | …the GSS, conducted by the National Opinion Research Center at the University of Chicago, is a nationally representative sample for the United States of about 1,500 respondents each year from 1972 through 1993 (except for 1979, 1981, and 1992). It continues biennially, with 3,000 observations from 1994 to 2004, 4,500 observations in 2006, and 2,000 observations in 2008 and 2010. Researchers use all the data available from 1972 to 2010. | [('…the', 'NN'), ('GSS', 'NNP'), (',', ','), ('conducted', 'VBN'), ('by', 'IN'), ('the', 'DT'), ('National', 'NNP'), ('Opinion', 'NNP'), ('Research', 'NNP'), ('Center', 'NNP'), ('at', 'IN'), ('the', 'DT'), ('University', 'NNP'), ('of', 'IN'), ('Chicago', 'NNP'), (',', ','), ('is', 'VBZ'), ('a', 'DT'), ('nationally', 'RB'), ('representative', 'JJ'), ('sample', 'NN'), ('for', 'IN'), ('the', 'DT'), ('United', 'NNP'), ('States', 'NNPS'), ('of', 'IN'), ('about', 'RB'), ('1,500', 'CD'), ('respondents', 'NNS'), ('each', 'DT'), ('year', 'NN'), ('from', 'IN'), ('1972', 'CD'), ('through', 'IN'), ('1993', 'CD'), ('(', '('), ('except', 'IN'), ('for', 'IN'), ('1979', 'CD'), (',', ','), ('1981', 'CD'), (',', ','), ('and', 'CC'), ('1992', 'CD'), (')', ')'), ('.', '.'), ('It', 'PRP'), ('continues', 'VBZ'), ('biennially', 'RB'), (',', ','), ('with', 'IN'), ('3,000', 'CD'), ('observations', 'NNS'), ('from', 'IN'), ('1994', 'CD'), ('to', 'TO'), ('2004', 'CD'), (',', ','), ('4,500', 'CD'), ('observations', 'NNS'), ('in', 'IN'), ('2006', 'CD'), (',', ','), ('and', 'CC'), ('2,000', 'CD'), ('observations', 'NNS'), ('in', 'IN'), ('2008', 'CD'), ('and', 'CC'), ('2010', 'CD'), ('.', '.'), ('Researchers', 'NNS'), ('use', 'VBP'), ('all', 'PDT'), ('the', 'DT'), ('data', 'NNS'), ('available', 'JJ'), ('from', 'IN'), ('1972', 'CD'), ('to', 'TO'), ('2010', 'CD'), ('.', '.')]
Dataset | General Social Survey | …as measures for preferences for redistribution, researchers use the answers to three questions from the GSS referred to as "help poor", "assistance poor", and "work-luck". | [('…as', 'JJ'), ('measures', 'NNS'), ('for', 'IN'), ('preferences', 'NNS'), ('for', 'IN'), ('redistribution', 'NN'), (',', ','), ('researchers', 'NNS'), ('use', 'VBP'), ('the', 'DT'), ('answers', 'NNS'), ('to', 'TO'), ('three', 'CD'), ('questions', 'NNS'), ('from', 'IN'), ('the', 'DT'), ('GSS', 'NNP'), ('referred', 'VBD'), ('to', 'TO'), ('as', 'IN'), ('``', '``'), ('help', 'NN'), ('poor', 'JJ'), ("''", "''"), (',', ','), ('``', '``'), ('assistance', 'NN'), ('poor', 'JJ'), ("''", "''"), (',', ','), ('and', 'CC'), ('``', '``'), ('work-luck', 'JJ'), ("''", "''"), ('.', '.')]
Dataset | General Social Survey | …the survey is conduced face-to-face with an in-person interview by the National Opinion Research Center at the University of Chicago of a randomly selected sample of adults (18 and older) who are not institutionalized. The survey takes about 90 minutes to administer. | [('…the', 'JJ'), ('survey', 'NN'), ('is', 'VBZ'), ('conduced', 'VBN'), ('face-to-face', 'NN'), ('with', 'IN'), ('an', 'DT'), ('in-person', 'JJ'), ('interview', 'NN'), ('by', 'IN'), ('the', 'DT'), ('National', 'NNP'), ('Opinion', 'NNP'), ('Research', 'NNP'), ('Center', 'NNP'), ('at', 'IN'), ('the', 'DT'), ('University', 'NNP'), ('of', 'IN'), ('Chicago', 'NNP'), ('of', 'IN'), ('a', 'DT'), ('randomly', 'RB'), ('selected', 'VBN'), ('sample', 'NN'), ('of', 'IN'), ('adults', 'NNS'), ('(', '('), ('18', 'CD'), ('and', 'CC'), ('older', 'JJR'), (')', ')'), ('who', 'WP'), ('are', 'VBP'), ('not', 'RB'), ('institutionalized', 'VBN'), ('.', '.'), ('The', 'DT'), ('survey', 'NN'), ('takes', 'VBZ'), ('about', 'IN'), ('90', 'CD'), ('minutes', 'NNS'), ('to', 'TO'), ('administer', 'VB'), ('.', '.')]
Dataset | General Social Survey | …researchers examine the validity of self-reported preference measures by looking at three different measures of political behavior corresponding to the three questions including "political ideology," "party affiliation," and "voting Democrat." | [('…researchers', 'NNS'), ('examine', 'VBP'), ('the', 'DT'), ('validity', 'NN'), ('of', 'IN'), ('self-reported', 'JJ'), ('preference', 'NN'), ('measures', 'NNS'), ('by', 'IN'), ('looking', 'VBG'), ('at', 'IN'), ('three', 'CD'), ('different', 'JJ'), ('measures', 'NNS'), ('of', 'IN'), ('political', 'JJ'), ('behavior', 'NN'), ('corresponding', 'VBG'), ('to', 'TO'), ('the', 'DT'), ('three', 'CD'), ('questions', 'NNS'), ('including', 'VBG'), ('``', '``'), ('political', 'JJ'), ('ideology', 'NN'), (',', ','), ("''", "''"), ('``', '``'), ('party', 'NN'), ('affiliation', 'NN'), (',', ','), ("''", "''"), ('and', 'CC'), ('``', '``'), ('voting', 'NN'), ('Democrat', 'NNP'), ('.', '.'), ("''", "''")]
Dataset | General Social Survey | …the GSS contains information on census regions (but not on single states) in which the person was living when he or she was 16. Researchers use this information to match individuals with the macroeconomic shock in the region where the person was living during his or her youth. | [('…the', 'JJ'), ('GSS', 'NNP'), ('contains', 'VBZ'), ('information', 'NN'), ('on', 'IN'), ('census', 'NN'), ('regions', 'NNS'), ('(', '('), ('but', 'CC'), ('not', 'RB'), ('on', 'IN'), ('single', 'JJ'), ('states', 'NNS'), (')', ')'), ('in', 'IN'), ('which', 'WDT'), ('the', 'DT'), ('person', 'NN'), ('was', 'VBD'), ('living', 'VBG'), ('when', 'WRB'), ('he', 'PRP'), ('or', 'CC'), ('she', 'PRP'), ('was', 'VBD'), ('16', 'CD'), ('.', '.'), ('Researchers', 'NNS'), ('use', 'VBP'), ('this', 'DT'), ('information', 'NN'), ('to', 'TO'), ('match', 'VB'), ('individuals', 'NNS'), ('with', 'IN'), ('the', 'DT'), ('macroeconomic', 'JJ'), ('shock', 'NN'), ('in', 'IN'), ('the', 'DT'), ('region', 'NN'), ('where', 'WRB'), ('the', 'DT'), ('person', 'NN'), ('was', 'VBD'), ('living', 'VBG'), ('during', 'IN'), ('his', 'PRP$'), ('or', 'CC'), ('her', 'PRP$'), ('youth', 'NN'), ('.', '.')]
Dataset | Bureau of Economic Analysis | …to have the longest possible time series, researchers contruct a measure of regional recessions using the data on region personal income from the Bureau of Economic Analysis. | [('…to', 'NNS'), ('have', 'VBP'), ('the', 'DT'), ('longest', 'JJS'), ('possible', 'JJ'), ('time', 'NN'), ('series', 'NN'), (',', ','), ('researchers', 'NNS'), ('contruct', 'VBP'), ('a', 'DT'), ('measure', 'NN'), ('of', 'IN'), ('regional', 'JJ'), ('recessions', 'NNS'), ('using', 'VBG'), ('the', 'DT'), ('data', 'NN'), ('on', 'IN'), ('region', 'NN'), ('personal', 'JJ'), ('income', 'NN'), ('from', 'IN'), ('the', 'DT'), ('Bureau', 'NNP'), ('of', 'IN'), ('Economic', 'NNP'), ('Analysis', 'NNP'), ('.', '.')]
Dataset | Bureau of Economic Analysis | …the Bureau of Economic Analysis has been providing annual estimates of per capita personal income at the state level since 1929. | [('…the', 'NN'), ('Bureau', 'NNP'), ('of', 'IN'), ('Economic', 'NNP'), ('Analysis', 'NNP'), ('has', 'VBZ'), ('been', 'VBN'), ('providing', 'VBG'), ('annual', 'JJ'), ('estimates', 'NNS'), ('of', 'IN'), ('per', 'IN'), ('capita', 'NN'), ('personal', 'JJ'), ('income', 'NN'), ('at', 'IN'), ('the', 'DT'), ('state', 'NN'), ('level', 'NN'), ('since', 'IN'), ('1929', 'CD'), ('.', '.')]
Dataset | Bureau of Economic Analysis | …the BEA also compiles data on gross state product, i.e., GDP at the regional level, but dating back only to 1963. Th correlation between real per capita personal income and real per capita GDP is 0.92. Researchers could have used regional unemployment rates as a measure of macroeconomic recessions; however, this variable is available only since 1968, from the BLS. As a result, they would lose too many observations. In the longitudinal analysis (which covers 1972 to 1986), researchers can use measures of the state unemployment rates. | [('…the', 'NN'), ('BEA', 'NNP'), ('also', 'RB'), ('compiles', 'VBZ'), ('data', 'NNS'), ('on', 'IN'), ('gross', 'JJ'), ('state', 'NN'), ('product', 'NN'), (',', ','), ('i.e.', 'FW'), (',', ','), ('GDP', 'NNP'), ('at', 'IN'), ('the', 'DT'), ('regional', 'JJ'), ('level', 'NN'), (',', ','), ('but', 'CC'), ('dating', 'VBG'), ('back', 'RB'), ('only', 'RB'), ('to', 'TO'), ('1963', 'CD'), ('.', '.'), ('Th', 'VB'), ('correlation', 'NN'), ('between', 'IN'), ('real', 'JJ'), ('per', 'IN'), ('capita', 'JJ'), ('personal', 'JJ'), ('income', 'NN'), ('and', 'CC'), ('real', 'JJ'), ('per', 'IN'), ('capita', 'NN'), ('GDP', 'NNP'), ('is', 'VBZ'), ('0.92', 'CD'), ('.', '.'), ('Researchers', 'NNS'), ('could', 'MD'), ('have', 'VB'), ('used', 'VBN'), ('regional', 'JJ'), ('unemployment', 'NN'), ('rates', 'NNS'), ('as', 'IN'), ('a', 'DT'), ('measure', 'NN'), ('of', 'IN'), ('macroeconomic', 'JJ'), ('recessions', 'NNS'), (';', ':'), ('however', 'RB'), (',', ','), ('this', 'DT'), ('variable', 'NN'), ('is', 'VBZ'), ('available', 'JJ'), ('only', 'RB'), ('since', 'IN'), ('1968', 'CD'), (',', ','), ('from', 'IN'), ('the', 'DT'), ('BLS', 'NNP'), ('.', '.'), ('As', 'IN'), ('a', 'DT'), ('result', 'NN'), (',', ','), ('they', 'PRP'), ('would', 'MD'), ('lose', 'VB'), ('too', 'RB'), ('many', 'JJ'), ('observations', 'NNS'), ('.', '.'), ('In', 'IN'), ('the', 'DT'), ('longitudinal', 'JJ'), ('analysis', 'NN'), ('(', '('), ('which', 'WDT'), ('covers', 'VBZ'), ('1972', 'CD'), ('to', 'TO'), ('1986', 'CD'), (')', ')'), (',', ','), ('researchers', 'NNS'), ('can', 'MD'), ('use', 'VB'), ('measures', 'NNS'), ('of', 'IN'), ('the', 'DT'), ('state', 'NN'), ('unemployment', 'NN'), ('rates', 'NNS'), ('.', '.')]
